Place	RIGOCode	RIGOCodeSt	RIGOCodeNo	RIGO2	RIGO	Code	Muni									
Pike County	AL05	AL	05	0	South Central Alabama Development Commission	01109	0									
Choctaw County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01023	0									
Clarke County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01025	0									
Conecuh County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01035	0									
Dallas County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01047	0									
Marengo County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01091	0									
Monroe County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01099	0									
Perry County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01105	0									
Sumter County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01119	0									
Washington County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01129	0									
Wilcox County	AL06	AL	06	0	Alabama-Tombigbee Regional Commission	01131	0									
Barbour County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01005	0									
Coffee County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01031	0									
Covington County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01039	0									
Dale County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01045	0									
Geneva County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01061	0									
Henry County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01067	0									
Houston County	AL07	AL	07	0	SE Alabama Regional Planning and Dev Commission	01069	0									
Baldwin County	AL08	AL	08	0	South Alabama Regional Planning Commission	01003	0									
Escambia County	AL08	AL	08	0	South Alabama Regional Planning Commission	01053	0									
Mobile County	AL08	AL	08	0	South Alabama Regional Planning Commission	01097	0									
Autauga County	AL09	AL	09	0	Central Alabama Regional Plan and Dev Commission	01001	0									
Elmore County	AL09	AL	09	0	Central Alabama Regional Plan and Dev Commission	01051	0									
Montgomery County	AL09	AL	09	0	Central Alabama Regional Plan and Dev Commission	01101	0									
Lee County	AL10	AL	10	0	Lee-Russell Council of Governments	01081	0									
Russell County	AL10	AL	10	0	Lee-Russell Council of Governments	01113	0									
Cullman County	AL11	AL	11	0	North-Central Alabama Regional Council of Governments	01043	0									
Lawrence County	AL11	AL	11	0	North-Central Alabama Regional Council of Governments	01079	0									
Morgan County	AL11	AL	11	0	North-Central Alabama Regional Council of Governments	01103	0									
DeKalb County	AL12	Al	12	0	Top of Alabama Council of Governments	01049	0									
Jackson County	AL12	Al	12	0	Top of Alabama Council of Governments	01071	0									
Limestone County	AL12	Al	12	0	Top of Alabama Council of Governments	01083	0									
Madison County	AL12	Al	12	0	Top of Alabama Council of Governments	01089	0									
Marshall County	AL12	Al	12	0	Top of Alabama Council of Governments	01095	0									
Faulkner County	AR01	AR	01	0	Central Arkansas Planning and Development District	05045	0									
Lonoke County	AR01	AR	01	0	Central Arkansas Planning and Development District	05085	0									
Monroe County	AR01	AR	01	0	Central Arkansas Planning and Development District	05095	0									
Prairie County	AR01	AR	01	0	Central Arkansas Planning and Development District	05117	0									
Pulaski County	AR01	AR	01	0	Central Arkansas Planning and Development District	05119	0									
Saline County	AR01	AR	01	0	Central Arkansas Planning and Development District	05125	0									
Baxter County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05005	0									
Benton County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05007	0									
Boone County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05009	0									
Carroll County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05015	0									
Madison County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05087	0									
Marion County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05089	0									
Newton County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05101	0									
Searcy County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05129	0									
Washington County	AR02	AR	02	0	Northwest Arkansas Economic Development District	05143	0									
Crawford County	AR03	AR	03	0	Western Arkansas Planning and Development District	05033	0									
Franklin County	AR03	AR	03	0	Western Arkansas Planning and Development District	05047	0									
Logan County	AR03	AR	03	0	Western Arkansas Planning and Development District	05083	0									
Polk County	AR03	AR	03	0	Western Arkansas Planning and Development District	05113	0									
Scott County	AR03	AR	03	0	Western Arkansas Planning and Development District	05127	0									
Sebastian County	AR03	AR	03	0	Western Arkansas Planning and Development District	05131	0									
Clark County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05019	0									
Conway County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05029	0									
Garland County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05051	0									
Hot Spring County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05059	0									
Johnson County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05071	0									
Montgomery County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05097	0									
Perry County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05105	0									
Pike County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05109	0									
Pope County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05115	0									
Yell County	AR04	AR	04	0	West Central Arkansas Planning and Development District	05149	0									
Calhoun County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05013	0									
Dallas County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05039	0									
Hempstead County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05057	0									
Howard County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05061	0									
Little River County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05081	0									
Nevada County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05099	0									
Sevier County	AR05	AR	05	0	Southwest Arkansas Planning and Development District	05133	0									
Arkansas County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05001	0									
Ashley County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05003	0									
Bradley County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05011	0									
Chicot County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05017	0									
Cleveland County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05025	0									
Desha County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05041	0									
Drew County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05043	0									
Grant County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05053	0									
Jefferson County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05069	0									
Lincoln County	AR06	AR	06	0	Southeast Arkansas Econonic Development District	05079	0									
Clay County	AR07	AR	07	0	East Arkansas Planning and Development District	05021	0									
Craighead County	AR07	AR	07	0	East Arkansas Planning and Development District	05031	0									
Cross County	AR07	AR	07	0	East Arkansas Planning and Development District	05037	0									
Greene County	AR07	AR	07	0	East Arkansas Planning and Development District	05055	0									
Lawrence County	AR07	AR	07	0	East Arkansas Planning and Development District	05075	0									
Lee County	AR07	AR	07	0	East Arkansas Planning and Development District	05077	0									
Mississippi County	AR07	AR	07	0	East Arkansas Planning and Development District	05093	0									
Phillips County	AR07	AR	07	0	East Arkansas Planning and Development District	05107	0									
Poinsett County	AR07	AR	07	0	East Arkansas Planning and Development District	05111	0									
Randolph County	AR07	AR	07	0	East Arkansas Planning and Development District	05121	0									
St. Francis County	AR07	AR	07	0	East Arkansas Planning and Development District	05123	0									
Cleburne County	AR08	AR	08	0	White River Planning and Development District	05023	0									
Fulton County	AR08	AR	08	0	White River Planning and Development District	05049	0									
Independence County	AR08	AR	08	0	White River Planning and Development District	05063	0									
Izard County	AR08	AR	08	0	White River Planning and Development District	05065	0									
Jackson County	AR08	AR	08	0	White River Planning and Development District	05067	0									
Sharp County	AR08	AR	08	0	White River Planning and Development District	05135	0									
Stone County	AR08	AR	08	0	White River Planning and Development District	05137	0									
Van Buren County	AR08	AR	08	0	White River Planning and Development District	05141	0									
White County	AR08	AR	08	0	White River Planning and Development District	05145	0									
Woodruff County	AR08	AR	08	0	White River Planning and Development District	05147	0									
Gila County	AZ01	AZ	01	0	Central Arizona Governments	04007	0									
Maricopa County	AZ02	AZ	02	0	Maricopa Association of Governments	04013	0									
Apache County	AZ03	AZ	03	0	Northern Arizona Council of Governments	04001	0									
Coconino County	AZ03	AZ	03	0	Northern Arizona Council of Governments	04005	0									
Navajo County	AZ03	AZ	03	0	Northern Arizona Council of Governments	04017	0									
Yavapai County	AZ03	AZ	03	0	Northern Arizona Council of Governments	04025	0									
Pima County	AZ04	AZ	04	0	Pima Association of Governments	04019	0									
Cochise County	AZ05	AZ	05	0	Southeastern Arizona Governments Organization	04003	0									
Graham County	AZ05	AZ	05	0	Southeastern Arizona Governments Organization	04009	0									
Greenlee County	AZ05	AZ	05	0	Southeastern Arizona Governments Organization	04011	0									
Santa Cruz County	AZ05	AZ	05	0	Southeastern Arizona Governments Organization	04023	0									
La Paz County	AZ06	AZ	06	0	Western Arizona Council of Governments	04012	0									
Mohave County	AZ06	AZ	06	0	Western Arizona Council of Governments	04015	0									
Yuma County	AZ06	AZ	06	0	Western Arizona Council of Governments	04027	0									
Alameda County	CA01	CA	01	0	Association of Bay Area Governments	06001	0									
Contra Costa County	CA01	CA	01	0	Association of Bay Area Governments	06013	0									
Marin County	CA01	CA	01	0	Association of Bay Area Governments	06041	0									
Napa County	CA01	CA	01	0	Association of Bay Area Governments	06055	0									
"San Francisco, City and County of[10]"	CA01	CA	01	0	Association of Bay Area Governments	06075	0									
San Mateo County	CA01	CA	01	0	Association of Bay Area Governments	06081	0									
Santa Clara County	CA01	CA	01	0	Association of Bay Area Governments	06085	0									
Solano County	CA01	CA	01	0	Association of Bay Area Governments	06095	0									
Sonoma County	CA01	CA	01	0	Association of Bay Area Governments	06097	0									
Monterey County	CA02	CA	02	0	Association of Monterey Bay Area Governments	06053	0									
San Benito County	CA02	CA	02	0	Association of Monterey Bay Area Governments	06069	0									
Santa Cruz County	CA02	CA	02	0	Association of Monterey Bay Area Governments	06087	0									
Butte County	CA03	CA	03	0	Butte County Association of Governments	06007	0									
Fresno County	CA04	CA	04	0	Fresno Council of Governments	06019	0									
Merced County	CA05	CA	05	0	Merced County Association of Governments	06047	0									
Kern County	CA06	CA	06	0	Kern Council of Governments	06029	0									
Kings County	CA07	CA	07	0	Kings County Association of Governments	06031	0									
San Joaquin County	CA08	CA	08	0	San Joaquin Council of Governments	06077	0									
Stanislaus County	CA09	CA	09	0	Stanislaus Council of Governments	06099	0									
Tulare County	CA10	CA	10	0	Tulare Association of Governments	06107	0									
Mendocino County	CA11	CA	11	0	Mendocino Council of Governments	06045	0									
Humboldt County	CA12	CA	12	0	Humboldt County Association of Governments	06023	0									
El Dorado County	CA13	CA	13	0	Sacremento Area Council of Governments	06017	0									
Placer County	CA13	CA	13	0	Sacremento Area Council of Governments	06061	0									
Sacramento County	CA13	CA	13	0	Sacremento Area Council of Governments	06067	0									
Sutter County	CA13	CA	13	0	Sacremento Area Council of Governments	06101	0									
Yolo County	CA13	CA	13	0	Sacremento Area Council of Governments	06113	0									
Yuba County	CA13	CA	13	0	Sacremento Area Council of Governments	06115	0									
San Diego County	CA14	CA	14	0	San Diego Association of Governments	06073	0									
Imperial County	CA15	CA	15	0	Southern California Association of Governments	06025	0									
Los Angeles County	CA15	CA	15	0	Southern California Association of Governments	06037	0									
Orange County	CA15	CA	15	0	Southern California Association of Governments	06059	0									
Riverside County	CA15	CA	15	0	Southern California Association of Governments	06065	0									
San Bernardino County	CA15	CA	15	0	Southern California Association of Governments	06071	0									
Ventura County	CA15	CA	15	0	Southern California Association of Governments	06111	0									
Santa Barbara County	CA16	CA	16	0	Santa Barbara County Association of Governments	06083	0									
San Luis Obispo County	CA17	CA	17	0	San Luis Obsipo Council of Governments	06079	0									
Modoc County	CA18	CA	18	0	Superior California Economic Development	06049	0									
Shasta County	CA18	CA	18	0	Superior California Economic Development	06089	0									
Siskiyou County	CA18	CA	18	0	Superior California Economic Development	06093	0									
Trinity County	CA18	CA	18	0	Superior California Economic Development	06105	0									
Madera County	CA50	CA	50	0	Madera County Transportation Commission	06039	0									
Alpine County	CA99	CA	99	0	Unattached	06003	0									
Calaveras County	CA99	CA	99	0	Unattached	06009	0									
Mariposa County	CA99	CA	99	0	Unattached	06043	0									
Tuolumne County	CA99	CA	99	0	Unattached	06109	0									
Amador County	CA99	CA	99	0	Unattached	06005	0									
Colusa County	CA99	CA	99	0	Unattached	06011	0									
Del Norte County	CA99	CA	99	0	Unattached	06015	0									
Glenn County	CA99	CA	99	0	Unattached	06021	0									
Inyo County	CA99	CA	99	0	Unattached	06027	0									
Lake County	CA99	CA	99	0	Unattached	06033	0									
Lassen County	CA99	CA	99	0	Unattached	06035	0									
Mono County	CA99	CA	99	0	Unattached	06051	0									
Nevada County	CA99	CA	99	0	Unattached	06057	0									
Plumas County	CA99	CA	99	0	Unattached	06063	0									
Sierra County	CA99	CA	99	0	Unattached	06091	0									
Tehama County	CA99	CA	99	0	Unattached	06103	0									
Adams County	CO01	CO	01	0	Denver Regional Council of Government	08001	0									
Arapahoe County	CO01	CO	01	0	Denver Regional Council of Government	08005	0									
Boulder County	CO01	CO	01	0	Denver Regional Council of Government	08013	0									
"Broomfield, City and County of"	CO01	CO	01	0	Denver Regional Council of Government	08014	0									
Clear Creek County	CO01	CO	01	0	Denver Regional Council of Government	08019	0									
"Denver, City and County of"	CO01	CO	01	0	Denver Regional Council of Government	08031	0									
Douglas County	CO01	CO	01	0	Denver Regional Council of Government	08035	0									
Gilpin County	CO01	CO	01	0	Denver Regional Council of Government	08047	0									
Jefferson County	CO01	CO	01	0	Denver Regional Council of Government	08059	0									
El Paso County	CO02	CO	02	0	Pikes Peak Area Council of Governments	08041	0									
Park County	CO02	CO	02	0	Pikes Peak Area Council of Governments	08093	0									
Teller County	CO02	CO	02	0	Pikes Peak Area Council of Governments	08119	0									
Logan County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08075	0									
Morgan County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08087	0									
Phillips County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08095	0									
Sedgwick County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08115	0									
Washington County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08121	0									
Yuma County	CO03	CO	03	0	Northeast Colorado Association of Local Governments	08125	0									
Cheyenne County	CO04	CO	04	0	East Central Council of Governments	08017	0									
Elbert County	CO04	CO	04	0	East Central Council of Governments	08039	0									
Kit Carson County	CO04	CO	04	0	East Central Council of Governments	08063	0									
Lincoln County	CO04	CO	04	0	East Central Council of Governments	08073	0									
Alamosa County	CO05	CO	05	0	San Luis Valley Development Resources Group	08003	0									
Conejos County	CO05	CO	05	0	San Luis Valley Development Resources Group	08021	0									
Costilla County	CO05	CO	05	0	San Luis Valley Development Resources Group	08023	0									
Mineral County	CO05	CO	05	0	San Luis Valley Development Resources Group	08079	0									
Rio Grande County	CO05	CO	05	0	San Luis Valley Development Resources Group	08105	0									
Saguache County	CO05	CO	05	0	San Luis Valley Development Resources Group	08109	0									
Archuleta County	CO06	CO	06	0	Southwest Colorado Council of Governments	08007	0									
Dolores County	CO06	CO	06	0	Southwest Colorado Council of Governments	08033	0									
La Plata County	CO06	CO	06	0	Southwest Colorado Council of Governments	08067	0									
Montezuma County	CO06	CO	06	0	Southwest Colorado Council of Governments	08083	0									
San Juan County	CO06	CO	06	0	Southwest Colorado Council of Governments	08111	0									
Delta County	CO07	CO	07	0	Region 10 League for Economic Assistance	08029	0									
Gunnison County	CO07	CO	07	0	Region 10 League for Economic Assistance	08051	0									
Hinsdale County	CO07	CO	07	0	Region 10 League for Economic Assistance	08053	0									
Montrose County	CO07	CO	07	0	Region 10 League for Economic Assistance	08085	0									
Ouray County	CO07	CO	07	0	Region 10 League for Economic Assistance	08091	0									
San Miguel County	CO07	CO	07	0	Region 10 League for Economic Assistance	08113	0									
Garfield County	CO08	CO	08	0	Associated Governments of Northwest Colorado	08045	0									
Mesa County	CO08	CO	08	0	Associated Governments of Northwest Colorado	08077	0									
Moffat County	CO08	CO	08	0	Associated Governments of Northwest Colorado	08081	0									
Rio Blanco County	CO08	CO	08	0	Associated Governments of Northwest Colorado	08103	0									
Routt County	CO08	CO	08	0	Associated Governments of Northwest Colorado	08107	0									
Eagle County	CO09	CO	09	0	NW Colorado Council of Governments	08037	0									
Grand County	CO09	CO	09	0	NW Colorado Council of Governments	08049	0									
Jackson County	CO09	CO	09	0	NW Colorado Council of Governments	08057	0									
Pitkin County	CO09	CO	09	0	NW Colorado Council of Governments	08097	0									
Summit County	CO09	CO	09	0	NW Colorado Council of Governments	08117	0									
Pueblo County	CO10	CO	10	0	Pueblo County Council of Governments	08101	0									
Huerfano County	CO11	CO	11	0	South Central Council of Governments	08055	0									
Las Animas County	CO11	CO	11	0	South Central Council of Governments	08071	0									
Baca County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08009	0									
Bent County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08011	0									
Crowley County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08025	0									
Kiowa County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08061	0									
Otero County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08089	0									
Prowers County	CO12	CO	12	0	Southeast Colorado Enterprise Development	08099	0									
Chaffee County	CO13	CO	13	0	Upper Arkansas Area Council of Governments	08015	0									
Custer County	CO13	CO	13	0	Upper Arkansas Area Council of Governments	08027	0									
Fremont County	CO13	CO	13	0	Upper Arkansas Area Council of Governments	08043	0									
Lake County	CO13	CO	13	0	Upper Arkansas Area Council of Governments	08065	0									
Larimer County	CO50	CO	50	0	North Front Range MPO	08069	0									
Avon town	CT01	CT	01	0	Capital Region Council of Governments	302060	1									
Berlin town	CT01	CT	01	0	Capital Region Council of Governments	304300	1									
Bloomfield town	CT01	CT	01	0	Capital Region Council of Governments	305910	1									
Canton town	CT01	CT	01	0	Capital Region Council of Governments	312270	1									
East Granby town	CT01	CT	01	0	Capital Region Council of Governments	322070	1									
East Hartford town	CT01	CT	01	0	Capital Region Council of Governments	322630	1									
East Windsor town	CT01	CT	01	0	Capital Region Council of Governments	324800	1									
Enfield town	CT01	CT	01	0	Capital Region Council of Governments	325990	1									
Farmington town	CT01	CT	01	0	Capital Region Council of Governments	327600	1									
Glastonbury town	CT01	CT	01	0	Capital Region Council of Governments	331240	1									
Granby town	CT01	CT	01	0	Capital Region Council of Governments	332640	1									
Hartford town	CT01	CT	01	0	Capital Region Council of Governments	337070	1									
Manchester town	CT01	CT	01	0	Capital Region Council of Governments	344700	1									
Marlborough town	CT01	CT	01	0	Capital Region Council of Governments	345820	1									
New Britain town	CT01	CT	01	0	Capital Region Council of Governments	350440	1									
