Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,,,,,,,,,
Sabine,TX14,TX,14,LA07,Deep East Texas Council of Governments,48403,0,,,,,,,,,
San Augustine,TX14,TX,14,LA07,Deep East Texas Council of Governments,48405,0,,,,,,,,,
Shelby,TX14,TX,14,LA07,Deep East Texas Council of Governments,48419,0,,,,,,,,,
St. Charles Parish,LA02,LA,02,LA03,New Orleans Regional Planning Commission,22089,0,,,,,,,,,
St. John the Baptist Parish,LA02,LA,02,LA03,New Orleans Regional Planning Commission,22095,0,,,,,,,,,
Tangipahoa Parish,LA02,LA,02,LA01,New Orleans Regional Planning Commission,22105,0,,,,,,,,,
Clark,IN14,IN,14,KY01,River Hills Economic Development District and Regional Planning Commission,18019,0,,,,,,,,,
Floyd,IN14,IN,14,KY01,River Hills Economic Development District and Regional Planning Commission,18043,0,,,,,,,,,
Weld,CO50,CO,50,CO01,North Front Range MPO,08123,0,,,,,,,,,
Pinal,AZ02,AZ,02,AZ01,Maricopa Association of Governments,04021,0,,,,,,,,,
Aleutians East Borough[4],AK01,AK,01,0,Southwest Alaska Municipal Conference,02013,0,,,,,,,,,
Aleutians West Census Area,AK01,AK,01,0,Southwest Alaska Municipal Conference,02016,0,,,,,,,,,
Bristol Bay Borough,AK01,AK,01,0,Southwest Alaska Municipal Conference,02060,0,,,,,,,,,
Dillingham Census Area,AK01,AK,01,0,Southwest Alaska Municipal Conference,02070,0,,,,,,,,,
Kodiak Island Borough,AK01,AK,01,0,Southwest Alaska Municipal Conference,02150,0,,,,,,,,,
Lake and Peninsula Borough,AK01,AK,01,0,Southwest Alaska Municipal Conference,02164,0,,,,,,,,,
Kenai Peninsula Borough[4],AK02,AK,02,0,Kenai peninsula Economic Development District,02122,0,,,,,,,,,
"Juneau, City and Borough of[7]",AK03,AK,03,0,Southeast Conference,02110,0,,,,,,,,,
Ketchikan Gateway Borough[4],AK03,AK,03,0,Southeast Conference,02130,0,,,,,,,,,
Petersburg Borough[4],AK03,AK,03,0,Southeast Conference,02195,0,,,,,,,,,
"Sitka, City and Borough of[8]",AK03,AK,03,0,Southeast Conference,02220,0,,,,,,,,,
"Skagway, Municipality of[4]",AK03,AK,03,0,Southeast Conference,02230,0,,,,,,,,,
"Wrangell, City and Borough of[4]",AK03,AK,03,0,Southeast Conference,02275,0,,,,,,,,,
Valdez–Cordova Census Area[5],AK04,AK,04,0,Unattached,02261,0,,,,,,,,,
"Anchorage, Municipality",AK50,AK,50,0,Anchorage Metropolitan Area Transportation Solutions,02020,0,,,,,,,,,
Matanuska-Susitna Borough,AK50,AK,50,0,Anchorage Metropolitan Area Transportation Solutions,02170,0,,,,,,,,,
Fairbanks North Star Borough,AK51,AK,51,0,Fairbanks Metropolitan Area Transportation System,02090,0,,,,,,,,,
Bethel Census Area[5],AK99,AK,99,0,Unattached,02050,0,,,,,,,,,
Denali Borough[4],AK99,AK,99,0,Unattached,02068,0,,,,,,,,,
Haines Borough[4],AK99,AK,99,0,Unattached,02100,0,,,,,,,,,
Hoonah–Angoon Census Area[5],AK99,AK,99,0,Unattached,02105,0,,,,,,,,,
Nome Census Area[5],AK99,AK,99,0,Unattached,02180,0,,,,,,,,,
North Slope Borough[4],AK99,AK,99,0,Unattached,02185,0,,,,,,,,,
Northwest Arctic Borough[4],AK99,AK,99,0,Unattached,02188,0,,,,,,,,,
Prince of Wales – Hyder Census Area[5],AK99,AK,99,0,Unattached,02198,0,,,,,,,,,
Southeast Fairbanks Census Area[5],AK99,AK,99,0,Unattached,02240,0,,,,,,,,,
Kusilvak Census Area[5],AK99,AK,99,0,Unattached,02270,0,,,,,,,,,
"Yakutat, City and Borough of[9]",AK99,AK,99,0,Unattached,02282,0,,,,,,,,,
Yukon–Koyukuk Census Area[5],AK99,AK,99,0,Unattached,02290,0,,,,,,,,,
Colbert,AL01,AL,01,0,Northwest Alabama Regional Council of Governments,01033,0,,,,,,,,,
Franklin,AL01,AL,01,0,Northwest Alabama Regional Council of Governments,01059,0,,,,,,,,,
Lauderdale,AL01,AL,01,0,Northwest Alabama Regional Council of Governments,01077,0,,,,,,,,,
Marion,AL01,AL,01,0,Northwest Alabama Regional Council of Governments,01093,0,,,,,,,,,
Winston,AL01,AL,01,0,Northwest Alabama Regional Council of Governments,01133,0,,,,,,,,,
Bibb,AL02,AL,02,0,West Alabama Regional Commission,01007,0,,,,,,,,,
Fayette,AL02,AL,02,0,West Alabama Regional Commission,01057,0,,,,,,,,,
Greene,AL02,AL,02,0,West Alabama Regional Commission,01063,0,,,,,,,,,
Hale,AL02,AL,02,0,West Alabama Regional Commission,01065,0,,,,,,,,,
Lamar,AL02,AL,02,0,West Alabama Regional Commission,01075,0,,,,,,,,,
Pickens,AL02,AL,02,0,West Alabama Regional Commission,01107,0,,,,,,,,,
Tuscaloosa,AL02,AL,02,0,West Alabama Regional Commission,01125,0,,,,,,,,,
Blount,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01009,0,,,,,,,,,
Chilton,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01021,0,,,,,,,,,
Jefferson,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01073,0,,,,,,,,,
St. Clair,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01115,0,,,,,,,,,
Shelby,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01117,0,,,,,,,,,
Walker,AL03,AL,03,0,Regional Planning Commission of Greater Birmingham,01127,0,,,,,,,,,
Calhoun,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01015,0,,,,,,,,,
Chambers,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01017,0,,,,,,,,,
Cherokee,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01019,0,,,,,,,,,
Clay,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01027,0,,,,,,,,,
Cleburne,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01029,0,,,,,,,,,
Coosa,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01037,0,,,,,,,,,
Etowah,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01055,0,,,,,,,,,
Randolph,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01111,0,,,,,,,,,
Talladega,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01121,0,,,,,,,,,
Tallapoosa,AL04,AL,04,0,East Alabama Regional Plan and Dev Commission,01123,0,,,,,,,,,
Bullock,AL05,AL,05,0,South Central Alabama Development Commission,01011,0,,,,,,,,,
Butler,AL05,AL,05,0,South Central Alabama Development Commission,01013,0,,,,,,,,,
Crenshaw,AL05,AL,05,0,South Central Alabama Development Commission,01041,0,,,,,,,,,
Lowndes,AL05,AL,05,0,South Central Alabama Development Commission,01085,0,,,,,,,,,
Macon,AL05,AL,05,0,South Central Alabama Development Commission,01087,0,,,,,,,,,
Pike,AL05,AL,05,0,South Central Alabama Development Commission,01109,0,,,,,,,,,
Choctaw,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01023,0,,,,,,,,,
Clarke,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01025,0,,,,,,,,,
Conecuh,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01035,0,,,,,,,,,
Dallas,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01047,0,,,,,,,,,
Marengo,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01091,0,,,,,,,,,
Monroe,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01099,0,,,,,,,,,
Perry,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01105,0,,,,,,,,,
Sumter,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01119,0,,,,,,,,,
Washington,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01129,0,,,,,,,,,
Wilcox,AL06,AL,06,0,Alabama-Tombigbee Regional Commission,01131,0,,,,,,,,,
Barbour,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01005,0,,,,,,,,,
Coffee,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01031,0,,,,,,,,,
Covington,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01039,0,,,,,,,,,
Dale,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01045,0,,,,,,,,,
Geneva,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01061,0,,,,,,,,,
Henry,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01067,0,,,,,,,,,
Houston,AL07,AL,07,0,SE Alabama Regional Planning and Dev Commission,01069,0,,,,,,,,,
Baldwin,AL08,AL,08,0,South Alabama Regional Planning Commission,01003,0,,,,,,,,,
Escambia,AL08,AL,08,0,South Alabama Regional Planning Commission,01053,0,,,,,,,,,
Mobile,AL08,AL,08,0,South Alabama Regional Planning Commission,01097,0,,,,,,,,,
Autauga,AL09,AL,09,0,Central Alabama Regional Plan and Dev Commission,01001,0,,,,,,,,,
Elmore,AL09,AL,09,0,Central Alabama Regional Plan and Dev Commission,01051,0,,,,,,,,,
Montgomery,AL09,AL,09,0,Central Alabama Regional Plan and Dev Commission,01101,0,,,,,,,,,
Lee,AL10,AL,10,0,Lee-Russell Council of Governments,01081,0,,,,,,,,,
Russell,AL10,AL,10,0,Lee-Russell Council of Governments,01113,0,,,,,,,,,
Cullman,AL11,AL,11,0,North-Central Alabama Regional Council of Governments,01043,0,,,,,,,,,
Lawrence,AL11,AL,11,0,North-Central Alabama Regional Council of Governments,01079,0,,,,,,,,,
Morgan,AL11,AL,11,0,North-Central Alabama Regional Council of Governments,01103,0,,,,,,,,,
DeKalb,AL12,Al,12,0,Top of Alabama Council of Governments,01049,0,,,,,,,,,
Jackson,AL12,Al,12,0,Top of Alabama Council of Governments,01071,0,,,,,,,,,
Limestone,AL12,Al,12,0,Top of Alabama Council of Governments,01083,0,,,,,,,,,
Madison,AL12,Al,12,0,Top of Alabama Council of Governments,01089,0,,,,,,,,,
Marshall,AL12,Al,12,0,Top of Alabama Council of Governments,01095,0,,,,,,,,,
Faulkner,AR01,AR,01,0,Central Arkansas Planning and Development District,05045,0,,,,,,,,,
Lonoke,AR01,AR,01,0,Central Arkansas Planning and Development District,05085,0,,,,,,,,,
Monroe,AR01,AR,01,0,Central Arkansas Planning and Development District,05095,0,,,,,,,,,
Prairie,AR01,AR,01,0,Central Arkansas Planning and Development District,05117,0,,,,,,,,,
Pulaski,AR01,AR,01,0,Central Arkansas Planning and Development District,05119,0,,,,,,,,,
Saline,AR01,AR,01,0,Central Arkansas Planning and Development District,05125,0,,,,,,,,,
Baxter,AR02,AR,02,0,Northwest Arkansas Economic Development District,05005,0,,,,,,,,,
Benton,AR02,AR,02,0,Northwest Arkansas Economic Development District,05007,0,,,,,,,,,
Boone,AR02,AR,02,0,Northwest Arkansas Economic Development District,05009,0,,,,,,,,,
Carroll,AR02,AR,02,0,Northwest Arkansas Economic Development District,05015,0,,,,,,,,,
Madison,AR02,AR,02,0,Northwest Arkansas Economic Development District,05087,0,,,,,,,,,
Marion,AR02,AR,02,0,Northwest Arkansas Economic Development District,05089,0,,,,,,,,,
Newton,AR02,AR,02,0,Northwest Arkansas Economic Development District,05101,0,,,,,,,,,
Searcy,AR02,AR,02,0,Northwest Arkansas Economic Development District,05129,0,,,,,,,,,
Washington,AR02,AR,02,0,Northwest Arkansas Economic Development District,05143,0,,,,,,,,,
Crawford,AR03,AR,03,0,Western Arkansas Planning and Development District,05033,0,,,,,,,,,
Franklin,AR03,AR,03,0,Western Arkansas Planning and Development District,05047,0,,,,,,,,,
Logan,AR03,AR,03,0,Western Arkansas Planning and Development District,05083,0,,,,,,,,,
Polk,AR03,AR,03,0,Western Arkansas Planning and Development District,05113,0,,,,,,,,,
Scott,AR03,AR,03,0,Western Arkansas Planning and Development District,05127,0,,,,,,,,,
Sebastian,AR03,AR,03,0,Western Arkansas Planning and Development District,05131,0,,,,,,,,,
Clark,AR04,AR,04,0,West Central Arkansas Planning and Development District,05019,0,,,,,,,,,
Conway,AR04,AR,04,0,West Central Arkansas Planning and Development District,05029,0,,,,,,,,,
Garland,AR04,AR,04,0,West Central Arkansas Planning and Development District,05051,0,,,,,,,,,
Hot Spring,AR04,AR,04,0,West Central Arkansas Planning and Development District,05059,0,,,,,,,,,
Johnson,AR04,AR,04,0,West Central Arkansas Planning and Development District,05071,0,,,,,,,,,
Montgomery,AR04,AR,04,0,West Central Arkansas Planning and Development District,05097,0,,,,,,,,,
Perry,AR04,AR,04,0,West Central Arkansas Planning and Development District,05105,0,,,,,,,,,
Pike,AR04,AR,04,0,West Central Arkansas Planning and Development District,05109,0,,,,,,,,,
Pope,AR04,AR,04,0,West Central Arkansas Planning and Development District,05115,0,,,,,,,,,
Yell,AR04,AR,04,0,West Central Arkansas Planning and Development District,05149,0,,,,,,,,,
Calhoun,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05013,0,,,,,,,,,
Dallas,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05039,0,,,,,,,,,
Hempstead,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05057,0,,,,,,,,,
Howard,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05061,0,,,,,,,,,
Little River,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05081,0,,,,,,,,,
Nevada,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05099,0,,,,,,,,,
Sevier,AR05,AR,05,0,Southwest Arkansas Planning and Development District,05133,0,,,,,,,,,
Arkansas,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05001,0,,,,,,,,,
Ashley,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05003,0,,,,,,,,,
Bradley,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05011,0,,,,,,,,,
Chicot,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05017,0,,,,,,,,,
Cleveland,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05025,0,,,,,,,,,
Desha,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05041,0,,,,,,,,,
Drew,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05043,0,,,,,,,,,
Grant,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05053,0,,,,,,,,,
Jefferson,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05069,0,,,,,,,,,
Lincoln,AR06,AR,06,0,Southeast Arkansas Econonic Development District,05079,0,,,,,,,,,
Clay,AR07,AR,07,0,East Arkansas Planning and Development District,05021,0,,,,,,,,,
Craighead,AR07,AR,07,0,East Arkansas Planning and Development District,05031,0,,,,,,,,,
Cross,AR07,AR,07,0,East Arkansas Planning and Development District,05037,0,,,,,,,,,
Greene,AR07,AR,07,0,East Arkansas Planning and Development District,05055,0,,,,,,,,,
Lawrence,AR07,AR,07,0,East Arkansas Planning and Development District,05075,0,,,,,,,,,
Lee,AR07,AR,07,0,East Arkansas Planning and Development District,05077,0,,,,,,,,,
Mississippi,AR07,AR,07,0,East Arkansas Planning and Development District,05093,0,,,,,,,,,
Phillips,AR07,AR,07,0,East Arkansas Planning and Development District,05107,0,,,,,,,,,
Poinsett,AR07,AR,07,0,East Arkansas Planning and Development District,05111,0,,,,,,,,,
Randolph,AR07,AR,07,0,East Arkansas Planning and Development District,05121,0,,,,,,,,,
St. Francis,AR07,AR,07,0,East Arkansas Planning and Development District,05123,0,,,,,,,,,
Cleburne,AR08,AR,08,0,White River Planning and Development District,05023,0,,,,,,,,,
Fulton,AR08,AR,08,0,White River Planning and Development District,05049,0,,,,,,,,,
Independence,AR08,AR,08,0,White River Planning and Development District,05063,0,,,,,,,,,
Izard,AR08,AR,08,0,White River Planning and Development District,05065,0,,,,,,,,,
Jackson,AR08,AR,08,0,White River Planning and Development District,05067,0,,,,,,,,,
Sharp,AR08,AR,08,0,White River Planning and Development District,05135,0,,,,,,,,,
Stone,AR08,AR,08,0,White River Planning and Development District,05137,0,,,,,,,,,
Van Buren,AR08,AR,08,0,White River Planning and Development District,05141,0,,,,,,,,,
White,AR08,AR,08,0,White River Planning and Development District,05145,0,,,,,,,,,
Woodruff,AR08,AR,08,0,White River Planning and Development District,05147,0,,,,,,,,,
Gila,AZ01,AZ,01,0,Central Arizona Governments,04007,0,,,,,,,,,
Maricopa,AZ02,AZ,02,0,Maricopa Association of Governments,04013,0,,,,,,,,,
Apache,AZ03,AZ,03,0,Northern Arizona Council of Governments,04001,0,,,,,,,,,
Coconino,AZ03,AZ,03,0,Northern Arizona Council of Governments,04005,0,,,,,,,,,
Navajo,AZ03,AZ,03,0,Northern Arizona Council of Governments,04017,0,,,,,,,,,
Yavapai,AZ03,AZ,03,0,Northern Arizona Council of Governments,04025,0,,,,,,,,,
Pima,AZ04,AZ,04,0,Pima Association of Governments,04019,0,,,,,,,,,
Cochise,AZ05,AZ,05,0,Southeastern Arizona Governments Organization,04003,0,,,,,,,,,
Graham,AZ05,AZ,05,0,Southeastern Arizona Governments Organization,04009,0,,,,,,,,,
Greenlee,AZ05,AZ,05,0,Southeastern Arizona Governments Organization,04011,0,,,,,,,,,
Santa Cruz,AZ05,AZ,05,0,Southeastern Arizona Governments Organization,04023,0,,,,,,,,,
La Paz,AZ06,AZ,06,0,Western Arizona Council of Governments,04012,0,,,,,,,,,
Mohave,AZ06,AZ,06,0,Western Arizona Council of Governments,04015,0,,,,,,,,,
Yuma,AZ06,AZ,06,0,Western Arizona Council of Governments,04027,0,,,,,,,,,
Alameda,CA01,CA,01,0,Association of Bay Area Governments,06001,0,,,,,,,,,
Contra Costa,CA01,CA,01,0,Association of Bay Area Governments,06013,0,,,,,,,,,
Marin,CA01,CA,01,0,Association of Bay Area Governments,06041,0,,,,,,,,,
Napa,CA01,CA,01,0,Association of Bay Area Governments,06055,0,,,,,,,,,
"San Francisco, City and of[10]",CA01,CA,01,0,Association of Bay Area Governments,06075,0,,,,,,,,,
San Mateo,CA01,CA,01,0,Association of Bay Area Governments,06081,0,,,,,,,,,
Santa Clara,CA01,CA,01,0,Association of Bay Area Governments,06085,0,,,,,,,,,
Solano,CA01,CA,01,0,Association of Bay Area Governments,06095,0,,,,,,,,,
Sonoma,CA01,CA,01,0,Association of Bay Area Governments,06097,0,,,,,,,,,
Monterey,CA02,CA,02,0,Association of Monterey Bay Area Governments,06053,0,,,,,,,,,
San Benito,CA02,CA,02,0,Association of Monterey Bay Area Governments,06069,0,,,,,,,,,
Santa Cruz,CA02,CA,02,0,Association of Monterey Bay Area Governments,06087,0,,,,,,,,,
Butte,CA03,CA,03,0,Butte County Association of Governments,06007,0,,,,,,,,,
Fresno,CA04,CA,04,0,Fresno Council of Governments,06019,0,,,,,,,,,
Merced,CA05,CA,05,0,Merced County Association of Governments,06047,0,,,,,,,,,
Kern,CA06,CA,06,0,Kern Council of Governments,06029,0,,,,,,,,,
Kings,CA07,CA,07,0,Kings County Association of Governments,06031,0,,,,,,,,,
San Joaquin,CA08,CA,08,0,San Joaquin Council of Governments,06077,0,,,,,,,,,
Stanislaus,CA09,CA,09,0,Stanislaus Council of Governments,06099,0,,,,,,,,,
Tulare,CA10,CA,10,0,Tulare Association of Governments,06107,0,,,,,,,,,
Mendocino,CA11,CA,11,0,Mendocino Council of Governments,06045,0,,,,,,,,,
Humboldt,CA12,CA,12,0,Humboldt County Association of Governments,06023,0,,,,,,,,,
El Dorado,CA13,CA,13,0,Sacremento Area Council of Governments,06017,0,,,,,,,,,
Placer,CA13,CA,13,0,Sacremento Area Council of Governments,06061,0,,,,,,,,,
Sacramento,CA13,CA,13,0,Sacremento Area Council of Governments,06067,0,,,,,,,,,
Sutter,CA13,CA,13,0,Sacremento Area Council of Governments,06101,0,,,,,,,,,
Yolo,CA13,CA,13,0,Sacremento Area Council of Governments,06113,0,,,,,,,,,
Yuba,CA13,CA,13,0,Sacremento Area Council of Governments,06115,0,,,,,,,,,
San Diego,CA14,CA,14,0,San Diego Association of Governments,06073,0,,,,,,,,,
Imperial,CA15,CA,15,0,Southern California Association of Governments,06025,0,,,,,,,,,
Los Angeles,CA15,CA,15,0,Southern California Association of Governments,06037,0,,,,,,,,,
Orange,CA15,CA,15,0,Southern California Association of Governments,06059,0,,,,,,,,,
Riverside,CA15,CA,15,0,Southern California Association of Governments,06065,0,,,,,,,,,
San Bernardino,CA15,CA,15,0,Southern California Association of Governments,06071,0,,,,,,,,,
Ventura,CA15,CA,15,0,Southern California Association of Governments,06111,0,,,,,,,,,
Santa Barbara,CA16,CA,16,0,Santa Barbara County Association of Governments,06083,0,,,,,,,,,
San Luis Obispo,CA17,CA,17,0,San Luis Obsipo Council of Governments,06079,0,,,,,,,,,
Modoc,CA18,CA,18,0,Superior California Economic Development,06049,0,,,,,,,,,
Shasta,CA18,CA,18,0,Superior California Economic Development,06089,0,,,,,,,,,
Siskiyou,CA18,CA,18,0,Superior California Economic Development,06093,0,,,,,,,,,
Trinity,CA18,CA,18,0,Superior California Economic Development,06105,0,,,,,,,,,
Madera,CA50,CA,50,0,Madera County Transportation Commission,06039,0,,,,,,,,,
Alpine,CA99,CA,99,0,Unattached,06003,0,,,,,,,,,
Calaveras,CA99,CA,99,0,Unattached,06009,0,,,,,,,,,
Mariposa,CA99,CA,99,0,Unattached,06043,0,,,,,,,,,
Tuolumne,CA99,CA,99,0,Unattached,06109,0,,,,,,,,,
Amador,CA99,CA,99,0,Unattached,06005,0,,,,,,,,,
Colusa,CA99,CA,99,0,Unattached,06011,0,,,,,,,,,
Del Norte,CA99,CA,99,0,Unattached,06015,0,,,,,,,,,
Glenn,CA99,CA,99,0,Unattached,06021,0,,,,,,,,,
Inyo,CA99,CA,99,0,Unattached,06027,0,,,,,,,,,
Lake,CA99,CA,99,0,Unattached,06033,0,,,,,,,,,
Lassen,CA99,CA,99,0,Unattached,06035,0,,,,,,,,,
Mono,CA99,CA,99,0,Unattached,06051,0,,,,,,,,,
Nevada,CA99,CA,99,0,Unattached,06057,0,,,,,,,,,
Plumas,CA99,CA,99,0,Unattached,06063,0,,,,,,,,,
Sierra,CA99,CA,99,0,Unattached,06091,0,,,,,,,,,
Tehama,CA99,CA,99,0,Unattached,06103,0,,,,,,,,,
Adams,CO01,CO,01,0,Denver Regional Council of Government,08001,0,,,,,,,,,
Arapahoe,CO01,CO,01,0,Denver Regional Council of Government,08005,0,,,,,,,,,
Boulder,CO01,CO,01,0,Denver Regional Council of Government,08013,0,,,,,,,,,
"Broomfield, City and of",CO01,CO,01,0,Denver Regional Council of Government,08014,0,,,,,,,,,
Clear Creek,CO01,CO,01,0,Denver Regional Council of Government,08019,0,,,,,,,,,
"Denver, City and of",CO01,CO,01,0,Denver Regional Council of Government,08031,0,,,,,,,,,
Douglas,CO01,CO,01,0,Denver Regional Council of Government,08035,0,,,,,,,,,
Gilpin,CO01,CO,01,0,Denver Regional Council of Government,08047,0,,,,,,,,,
Jefferson,CO01,CO,01,0,Denver Regional Council of Government,08059,0,,,,,,,,,
El Paso,CO02,CO,02,0,Pikes Peak Area Council of Governments,08041,0,,,,,,,,,
Park,CO02,CO,02,0,Pikes Peak Area Council of Governments,08093,0,,,,,,,,,
Teller,CO02,CO,02,0,Pikes Peak Area Council of Governments,08119,0,,,,,,,,,
Logan,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08075,0,,,,,,,,,
Morgan,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08087,0,,,,,,,,,
Phillips,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08095,0,,,,,,,,,
Sedgwick,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08115,0,,,,,,,,,
Washington,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08121,0,,,,,,,,,
Yuma,CO03,CO,03,0,Northeast Colorado Association of Local Governments,08125,0,,,,,,,,,
Cheyenne,CO04,CO,04,0,East Central Council of Governments,08017,0,,,,,,,,,
Elbert,CO04,CO,04,0,East Central Council of Governments,08039,0,,,,,,,,,
Kit Carson,CO04,CO,04,0,East Central Council of Governments,08063,0,,,,,,,,,
